"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:39:58.045230","17.248.214.12","192.168.0.227","TCP","1474","443  >  62179 [ACK] Seq=1 Ack=1 Win=39 Len=1408 TSval=3317991046 TSecr=3463106275 [TCP PDU reassembled in 3]"
"2","11:39:58.045234","17.248.214.12","192.168.0.227","TCP","1474","443  >  62179 [PSH, ACK] Seq=1409 Ack=1 Win=39 Len=1408 TSval=3317991046 TSecr=3463106275 [TCP PDU reassembled in 3]"
"3","11:39:58.045236","17.248.214.12","192.168.0.227","TLSv1.2","1385","Application Data, Application Data"
"4","11:39:58.045238","17.248.214.12","192.168.0.227","TCP","1385","[TCP Retransmission] 443  >  62179 [PSH, ACK] Seq=2817 Ack=1 Win=39 Len=1319 TSval=3317991202 TSecr=3463106275"
"5","11:39:58.045648","192.168.0.227","17.248.214.12","TCP","66","62179  >  443 [ACK] Seq=1 Ack=4136 Win=1984 Len=0 TSval=3463107197 TSecr=3317991048"
"6","11:39:58.045656","192.168.0.227","17.248.214.12","TCP","78","[TCP Dup ACK 5#1] 62179  >  443 [ACK] Seq=1 Ack=4136 Win=1984 Len=0 TSval=3463107197 TSecr=3317991202 SLE=2817 SRE=4136"
"7","11:39:58.045657","192.168.0.227","17.248.214.12","TCP","66","[TCP Window Update] 62179  >  443 [ACK] Seq=1 Ack=4136 Win=2048 Len=0 TSval=3463107197 TSecr=3317991202"
"8","11:39:58.293793","192.168.0.227","5.28.195.2","TCP","78","60829  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4039768366 TSecr=0 SACK_PERM"
"9","11:39:58.293852","192.168.0.227","5.28.195.2","TCP","78","60827  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3903337473 TSecr=0 SACK_PERM"
"10","11:39:58.347068","192.168.0.227","17.248.214.12","TLSv1.2","217","Application Data"
"11","11:39:58.347320","192.168.0.227","17.248.214.12","TLSv1.2","941","Application Data"
"12","11:39:58.347466","192.168.0.227","17.248.214.12","TLSv1.2","97","Application Data"
"13","11:39:58.394139","17.248.214.12","192.168.0.227","TCP","66","443  >  62179 [ACK] Seq=4136 Ack=152 Win=39 Len=0 TSval=3317991584 TSecr=3463107498"
"14","11:39:58.398609","17.248.214.12","192.168.0.227","TCP","66","443  >  62179 [ACK] Seq=4136 Ack=1027 Win=39 Len=0 TSval=3317991588 TSecr=3463107498"
"15","11:39:58.398611","17.248.214.12","192.168.0.227","TCP","66","443  >  62179 [ACK] Seq=4136 Ack=1058 Win=39 Len=0 TSval=3317991588 TSecr=3463107499"
"16","11:39:58.763243","17.248.214.12","192.168.0.227","TLSv1.2","713","Application Data"
"17","11:39:58.763246","17.248.214.12","192.168.0.227","TLSv1.2","97","Application Data"
"18","11:39:58.763695","192.168.0.227","17.248.214.12","TCP","66","62179  >  443 [ACK] Seq=1058 Ack=4814 Win=2038 Len=0 TSval=3463107915 TSecr=3317991841"
"19","11:39:58.774755","fe80::ae22:5ff:feaa:607e","fe80::8f4:f6e1:77d0:ab3e","ICMPv6","86","Neighbor Solicitation for fe80::8f4:f6e1:77d0:ab3e from ac:22:05:aa:60:7e"
"20","11:39:58.774877","fe80::8f4:f6e1:77d0:ab3e","fe80::ae22:5ff:feaa:607e","ICMPv6","78","Neighbor Advertisement fe80::8f4:f6e1:77d0:ab3e (sol)"
"21","11:39:59.268064","192.168.0.227","17.248.214.12","TCP","54","[TCP Keep-Alive] 62179  >  443 [ACK] Seq=1057 Ack=4814 Win=2048 Len=0"
"22","11:39:59.294942","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60829  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4039769367 TSecr=0 SACK_PERM"
"23","11:39:59.294981","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60827  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3903338474 TSecr=0 SACK_PERM"
"24","11:39:59.315284","17.248.214.12","192.168.0.227","TCP","66","[TCP Keep-Alive ACK] 443  >  62179 [ACK] Seq=4814 Ack=1058 Win=39 Len=0 TSval=3317992505 TSecr=3463107915"
"25","11:39:59.358643","192.87.28.82","192.168.0.227","TLSv1.2","602","Application Data"
"26","11:39:59.358743","192.168.0.227","192.87.28.82","TCP","66","55094  >  9001 [ACK] Seq=1 Ack=537 Win=7012 Len=0 TSval=4102324490 TSecr=2014973510"
"27","11:39:59.611930","192.168.0.227","192.87.28.82","TCP","54","[TCP Keep-Alive] 55094  >  9001 [ACK] Seq=0 Ack=537 Win=7020 Len=0"
"28","11:39:59.647749","192.87.28.82","192.168.0.227","TCP","66","[TCP Keep-Alive ACK] 9001  >  55094 [ACK] Seq=537 Ack=1 Win=1043 Len=0 TSval=2014973799 TSecr=4102324490"
"29","11:40:00.091947","2a00:1450:400d:809::200e","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TLSv1.2","130","Application Data"
