"No.","Time","Source","Destination","Protocol","Length","Info"
"142","12:42:37.084859","152.66.159.50","5.28.195.2","TLSv1","583","Client Hello"
"166","12:42:37.223029","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"168","12:42:37.261645","155.4.6.86","152.66.159.50","TLSv1.2","90","Application Data"
"236","12:42:37.423542","178.254.45.64","152.66.159.50","TLSv1.2","602","Application Data"
"566","12:42:38.803921","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"627","12:42:38.855540","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"630","12:42:38.856380","152.66.159.50","109.70.100.248","TLSv1.2","906","Application Data"
"636","12:42:38.900368","109.70.100.248","152.66.159.50","TLSv1.2","422","Application Data"
"639","12:42:38.908447","109.70.100.248","152.66.159.50","TLSv1.2","666","Application Data"
"641","12:42:38.914170","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"700","12:42:38.963390","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"705","12:42:39.013943","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"707","12:42:39.014829","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"762","12:42:39.128838","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"767","12:42:39.171584","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"769","12:42:39.225029","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"812","12:42:39.259373","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"814","12:42:39.259786","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"815","12:42:39.308985","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"817","12:42:39.309931","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"859","12:42:39.336572","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"862","12:42:39.338164","152.66.159.50","109.70.100.248","TLSv1.2","906","Application Data"
"864","12:42:39.365840","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"869","12:42:39.379576","109.70.100.248","152.66.159.50","TLSv1.2","1210","Application Data"
"872","12:42:39.395213","109.70.100.248","152.66.159.50","TLSv1.2","1116","Application Data"
"874","12:42:39.396354","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"877","12:42:39.419146","152.66.159.50","5.28.195.2","TLSv1","583","Client Hello"
"905","12:42:39.448031","152.66.159.50","109.70.100.248","TLSv1.2","1116","Application Data"
"911","12:42:39.491207","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"913","12:42:39.492111","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"918","12:42:39.521971","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"964","12:42:39.576330","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"969","12:42:39.710304","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
