"No.","Time","Source","Destination","Protocol","Length","Info"
"1","18:49:44.574094","192.168.0.227","5.28.195.2","TCP","78","49841  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4148034398 TSecr=0 SACK_PERM"
"2","18:49:44.574155","192.168.0.227","5.28.195.2","TCP","78","49840  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1509608726 TSecr=0 SACK_PERM"
"3","18:49:45.551518","192.168.0.227","64.65.63.120","TLSv1.2","602","Application Data"
"4","18:49:45.575219","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 49841  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4148035399 TSecr=0 SACK_PERM"
"5","18:49:45.575262","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 49840  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1509609727 TSecr=0 SACK_PERM"
"6","18:49:45.680161","64.65.63.120","192.168.0.227","TCP","66","443  >  64520 [ACK] Seq=1 Ack=537 Win=8077 Len=0 TSval=2517501216 TSecr=1566605109"
"7","18:49:46.575302","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 49841  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4148036400 TSecr=0 SACK_PERM"
"8","18:49:46.575338","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 49840  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1509610728 TSecr=0 SACK_PERM"
"9","18:49:46.577427","192.168.0.220","192.168.0.227","MDNS","86","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question"
"10","18:49:46.618019","2a:32:1e:8d:54:98","16:a5:8a:ab:88:c1","ARP","42","Who has 192.168.0.220? Tell 192.168.0.227"
"11","18:49:46.618023","192.168.0.227","192.168.0.220","MDNS","436","Standard query response 0x0000 PTR NK MacBook Air._companion-link._tcp.local SRV, cache flush 0 0 52657 NK-MacBook-Air.local TXT, cache flush TXT AAAA, cache flush fe80::8f4:f6e1:77d0:ab3e AAAA, cache flush 2a02:ab88:b:4100:802:75bd:a912:68ed A, cache flush 192.168.0.227"
"12","18:49:46.624474","16:a5:8a:ab:88:c1","2a:32:1e:8d:54:98","ARP","42","192.168.0.220 is at 16:a5:8a:ab:88:c1"
"13","18:49:46.626348","fe80::1864:4d30:9585:912f","fe80::8f4:f6e1:77d0:ab3e","TCP","90","55492  >  52657 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=4 TSval=1106902039 TSecr=2789291726"
