"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:53:26.604682","192.168.0.74","5.28.195.2","TCP","78","63822  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3412260550 TSecr=0 SACK_PERM"
"2","11:53:26.604753","192.168.0.74","5.28.195.2","TCP","78","63821  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2918077526 TSecr=0 SACK_PERM"
"3","11:53:27.270151","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"4","11:53:27.605958","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 63822  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3412261551 TSecr=0 SACK_PERM"
"5","11:53:27.605996","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 63821  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2918078527 TSecr=0 SACK_PERM"
"6","11:53:27.986098","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"7","11:53:28.191672","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"8","11:53:28.445047","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"9","11:53:28.492273","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=1 Ack=1051 Win=3453 Len=0 TSval=2681309681 TSecr=3164017003"
"10","11:53:28.655155","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"11","11:53:28.655259","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=1051 Ack=537 Win=9190 Len=0 TSval=3164017214 TSecr=2681309842"
"12","11:53:28.775213","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"13","11:53:28.791105","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.2","110","Application Data"
"14","11:53:28.791675","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TCP","86","57688  >  443 [ACK] Seq=1 Ack=25 Win=2048 Len=0 TSval=3389118201 TSecr=3076743142"
"15","11:53:28.791678","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TLSv1.2","110","Application Data"
"16","11:53:28.791678","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TLSv1.2","112","Application Data"
"17","11:53:28.814055","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=537 Ack=1587 Win=3449 Len=0 TSval=2681310003 TSecr=3164017334"
"18","11:53:28.824411","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"19","11:53:28.838905","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57688 [ACK] Seq=25 Ack=25 Win=505 Len=0 TSval=3076743190 TSecr=3389118201"
"20","11:53:28.843917","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57688 [ACK] Seq=25 Ack=51 Win=505 Len=0 TSval=3076743194 TSecr=3389118201"
"21","11:53:28.902061","192.87.28.82","192.168.0.74","TCP","66","9001  >  59488 [ACK] Seq=1 Ack=537 Win=3520 Len=0 TSval=2693359369 TSecr=3832886338"
"22","11:53:29.003843","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"23","11:53:29.017865","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [ACK] Seq=537 Ack=1587 Win=3449 Len=1408 TSval=2681310206 TSecr=3164017334 [TCP PDU reassembled in 25]"
"24","11:53:29.017870","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [PSH, ACK] Seq=1945 Ack=1587 Win=3449 Len=1408 TSval=2681310206 TSecr=3164017334 [TCP PDU reassembled in 25]"
"25","11:53:29.017872","64.65.63.120","192.168.0.74","TLSv1.2","870","Application Data"
"26","11:53:29.018121","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=1587 Ack=1945 Win=9176 Len=0 TSval=3164017576 TSecr=2681310206"
