"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:47:15.421217","17.248.214.68","192.168.0.227","TCP","66","443  >  62211 [ACK] Seq=1 Ack=1 Win=16 Len=0 TSval=2934776661 TSecr=1290374882"
"2","11:47:15.451015","192.168.0.227","5.28.195.2","TCP","78","61235  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4048049642 TSecr=0 SACK_PERM"
"3","11:47:15.451070","192.168.0.227","5.28.195.2","TCP","78","61233  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3897924079 TSecr=0 SACK_PERM"
"4","11:47:15.524077","2620:1ec:bdf::45","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TLSv1.2","125","Application Data"
"5","11:47:15.524079","2620:1ec:bdf::45","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TLSv1.2","110","Application Data"
"6","11:47:15.524080","2620:1ec:bdf::45","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TCP","86","443  >  61139 [FIN, ACK] Seq=64 Ack=1 Win=148 Len=0 TSval=3892410278 TSecr=1070180966"
"7","11:47:15.524223","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","2620:1ec:bdf::45","TCP","86","61139  >  443 [ACK] Seq=1 Ack=64 Win=2048 Len=0 TSval=1070270912 TSecr=3892410277"
"8","11:47:15.524291","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","2620:1ec:bdf::45","TCP","86","61139  >  443 [ACK] Seq=1 Ack=65 Win=2048 Len=0 TSval=1070270912 TSecr=3892410278"
"9","11:47:15.524537","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","2620:1ec:bdf::45","TCP","86","61139  >  443 [FIN, ACK] Seq=1 Ack=65 Win=2048 Len=0 TSval=1070270912 TSecr=3892410278"
"10","11:47:15.560426","2620:1ec:bdf::45","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TCP","86","443  >  61139 [ACK] Seq=65 Ack=2 Win=148 Len=0 TSval=3892410314 TSecr=1070270912"
"11","11:47:16.336194","192.168.0.227","192.87.28.82","TLSv1.2","602","Application Data"
"12","11:47:16.412566","192.87.28.82","192.168.0.227","TCP","66","9001  >  55094 [ACK] Seq=1 Ack=537 Win=1043 Len=0 TSval=2015410563 TSecr=4102761485"
"13","11:47:16.427927","64.65.63.120","192.168.0.227","TLSv1.2","602","Application Data"
"14","11:47:16.428049","192.168.0.227","64.65.63.120","TCP","66","55087  >  443 [ACK] Seq=1 Ack=537 Win=10312 Len=0 TSval=1560733779 TSecr=2578552051"
"15","11:47:16.452122","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 61235  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4048050643 TSecr=0 SACK_PERM"
"16","11:47:16.452189","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 61233  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3897925080 TSecr=0 SACK_PERM"
"17","11:47:16.641328","192.168.0.227","64.65.63.120","TCP","54","[TCP Keep-Alive] 55087  >  443 [ACK] Seq=0 Ack=537 Win=10320 Len=0"
"18","11:47:16.678384","64.65.63.120","192.168.0.227","TCP","66","[TCP Keep-Alive ACK] 443  >  55087 [ACK] Seq=537 Ack=1 Win=1491 Len=0 TSval=2578552303 TSecr=1560733779"
"19","11:47:16.713740","149.154.167.41","192.168.0.227","SSL","171","Continuation Data"
