"No.","Time","Source","Destination","Protocol","Length","Info"
"1","20:38:30.061370","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=1 Ack=1 Win=1043 Len=1408 TSval=3380257186 TSecr=2984912837 [TCP PDU reassembled in 3]"
"2","20:38:30.061372","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=1409 Ack=1 Win=1043 Len=1408 TSval=3380257186 TSecr=2984912837 [TCP PDU reassembled in 3]"
"3","20:38:30.061374","192.87.28.82","192.168.0.74","TLSv1.2","870","Application Data"
"4","20:38:30.061514","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"5","20:38:30.070202","192.87.28.82","192.168.0.74","TLSv1.2","1474","Application Data"
"6","20:38:30.070204","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=5029 Ack=1 Win=1043 Len=1408 TSval=3380257193 TSecr=2984912837 [TCP PDU reassembled in 8]"
"7","20:38:30.070205","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=6437 Ack=1 Win=1043 Len=1408 TSval=3380257193 TSecr=2984912837 [TCP PDU reassembled in 8]"
"8","20:38:30.070206","192.87.28.82","192.168.0.74","TLSv1.2","512","Application Data"
"9","20:38:30.070207","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=1 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 11]"
"10","20:38:30.070209","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=1409 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 11]"
"11","20:38:30.070210","64.65.63.120","192.168.0.74","TLSv1.2","1320","Application Data"
"12","20:38:30.070211","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=4071 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 14]"
"13","20:38:30.070213","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=5479 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 14]"
"14","20:38:30.070214","64.65.63.120","192.168.0.74","TLSv1.2","1474","Application Data"
"15","20:38:30.070215","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=8295 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 17]"
"16","20:38:30.070216","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [PSH, ACK] Seq=9703 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 17]"
"17","20:38:30.070217","64.65.63.120","192.168.0.74","TLSv1.2","1474","Application Data"
"18","20:38:30.070218","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [ACK] Seq=12519 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 24]"
"19","20:38:30.070220","64.65.63.120","192.168.0.74","TCP","1474","443  >  53923 [PSH, ACK] Seq=13927 Ack=1 Win=1923 Len=1408 TSval=2626411254 TSecr=39172939 [TCP PDU reassembled in 24]"
"20","20:38:30.070350","192.168.0.74","64.65.63.120","TCP","66","53923  >  443 [ACK] Seq=1 Ack=15335 Win=8057 Len=0 TSval=39173045 TSecr=2626411254"
