"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:43:45.250495","2a06:98c1:3122:8000::1","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.2","110","Application Data"
"3","12:43:45.250925","2001:738:2001:407f:581f:1472:e875:7785","2a06:98c1:3122:8000::1","TLSv1.2","110","Application Data"
"4","12:43:45.250926","2001:738:2001:407f:581f:1472:e875:7785","2a06:98c1:3122:8000::1","TLSv1.2","112","Application Data"
"16","12:43:45.333060","152.66.159.50","217.79.181.76","TLSv1.2","602","Application Data"
"17","12:43:45.333175","152.66.159.50","135.125.202.252","TLSv1.2","602","Application Data"
"128","12:43:45.492738","152.66.159.50","5.28.195.2","TLSv1","583","Client Hello"
"389","12:43:46.355456","152.66.159.50","51.210.177.4","TCP","1304","64642  >  9200 [ACK] Seq=1 Ack=1 Win=2048 Len=1238 TSval=3361371268 TSecr=648043623 [TCP PDU reassembled in 390]"
"390","12:43:46.355490","152.66.159.50","51.210.177.4","TLSv1.2","392","Application Data"
"391","12:43:46.355634","152.66.159.50","217.79.181.76","TLSv1.2","602","Application Data"
"392","12:43:46.369453","2a00:1450:400d:804::200e","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.2","198","Application Data"
"396","12:43:46.389114","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"398","12:43:46.389681","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"425","12:43:46.440048","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"427","12:43:46.444331","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"447","12:43:46.521144","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"449","12:43:46.521659","152.66.159.50","51.210.177.4","TLSv1.2","602","Application Data"
"478","12:43:46.612958","51.210.177.4","152.66.159.50","TLSv1.2","602","Application Data"
"483","12:43:46.801464","152.66.159.50","109.70.100.248","TLSv1.2","1116","Application Data"
"518","12:43:46.888556","109.70.100.248","152.66.159.50","TLSv1.2","1116","Application Data"
"659","12:43:47.474082","185.220.101.195","152.66.159.50","TLSv1.2","602","Application Data"
"723","12:43:47.806197","152.66.159.50","109.70.100.248","TCP","1304","64644  >  9010 [ACK] Seq=1051 Ack=1051 Win=6556 Len=1238 TSval=2230414099 TSecr=4286007301 [TCP PDU reassembled in 724]"
"724","12:43:47.806219","152.66.159.50","109.70.100.248","TLSv1.2","392","Application Data"
"725","12:43:47.807464","152.66.159.50","109.70.100.248","TCP","1304","64644  >  9010 [ACK] Seq=2615 Ack=1051 Win=6556 Len=1238 TSval=2230414100 TSecr=4286007301 [TCP PDU reassembled in 726]"
"726","12:43:47.807473","152.66.159.50","109.70.100.248","TLSv1.2","392","Application Data"
"790","12:43:47.859828","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=1051 Ack=4179 Win=1199 Len=1238 TSval=4286008020 TSecr=2230414100 [TCP PDU reassembled in 792]"
"792","12:43:47.859831","109.70.100.248","152.66.159.50","TLSv1.2","696","Application Data"
"795","12:43:47.884970","152.66.159.50","109.70.100.248","TLSv1.2","1116","Application Data"
"878","12:43:47.954099","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"880","12:43:47.987922","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"882","12:43:48.022027","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"884","12:43:48.028163","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=5229 Ack=5765 Win=1199 Len=1238 TSval=4286008189 TSecr=2230414280 [TCP PDU reassembled in 888]"
"888","12:43:48.030894","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"892","12:43:48.030901","109.70.100.248","152.66.159.50","TLSv1.2","414","Application Data, Application Data"
"895","12:43:48.035063","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=13005 Ack=5765 Win=1199 Len=1238 TSval=4286008195 TSecr=2230414314 [TCP PDU reassembled in 898]"
"898","12:43:48.035068","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"901","12:43:48.035073","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"906","12:43:48.035316","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"910","12:43:48.040963","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"913","12:43:48.040969","109.70.100.248","152.66.159.50","TLSv1.2","110","Application Data"
"967","12:43:48.048688","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=25429 Ack=5765 Win=1199 Len=1238 TSval=4286008203 TSecr=2230414323 [TCP PDU reassembled in 970]"
"970","12:43:48.048693","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"973","12:43:48.048698","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data, Application Data"
"976","12:43:48.048703","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"983","12:43:48.049149","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"984","12:43:48.051677","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data, Application Data"
"987","12:43:48.051683","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"991","12:43:48.053782","109.70.100.248","152.66.159.50","TLSv1.2","574","Application Data"
"993","12:43:48.055022","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=48221 Ack=6301 Win=1199 Len=1238 TSval=4286008217 TSecr=2230414334 [TCP PDU reassembled in 998]"
"995","12:43:48.055098","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"998","12:43:48.057267","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"1001","12:43:48.057272","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data, Application Data"
"1006","12:43:48.058503","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"1008","12:43:48.062932","109.70.100.248","152.66.159.50","TLSv1.2","646","Application Data"
"1009","12:43:48.062934","109.70.100.248","152.66.159.50","TCP","1304","9010  >  64644 [ACK] Seq=61181 Ack=6837 Win=1199 Len=1238 TSval=4286008223 TSecr=2230414342 [TCP PDU reassembled in 1014]"
"1014","12:43:48.064975","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data, Application Data"
"1018","12:43:48.064982","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"1023","12:43:48.065285","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"1024","12:43:48.066076","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data"
"1028","12:43:48.070713","109.70.100.248","152.66.159.50","TLSv1.2","1304","Application Data, Application Data"
