"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:37:03.809827","152.66.156.222","224.0.0.251","MDNS","137","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question TXT NagPad mini._companion-link._tcp.local, ""QM"" question TXT Norman MacBook Pro._companion-link._tcp.local, ""QM"" question"
"2","12:37:03.809830","fe80::1c61:9498:4eb8:db64","ff02::fb","MDNS","157","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question TXT NagPad mini._companion-link._tcp.local, ""QM"" question TXT Norman MacBook Pro._companion-link._tcp.local, ""QM"" question"
"3","12:37:03.809832","fe80::1811:8033:a2ef:2467","ff02::fb","ICMPv6","86","Multicast Listener Report"
"4","12:37:03.813174","152.66.157.64","224.0.0.251","MDNS","150","Standard query 0x0000 ANY 980D6541-0E9A-4ACE-BD68-9629E4D1BA31._asquic._udp.local, ""QM"" question SRV 0 0 61567 Roland-iPad-je.local"
"5","12:37:03.813177","fe80::105b:30aa:f10c:cf84","ff02::fb","MDNS","170","Standard query 0x0000 ANY 980D6541-0E9A-4ACE-BD68-9629E4D1BA31._asquic._udp.local, ""QM"" question SRV 0 0 61567 Roland-iPad-je.local"
"6","12:37:03.813179","0.0.0.0","224.0.0.1","IGMPv3","50","Membership Query, general"
"7","12:37:03.813182","fe80::a69b:cdff:fe2d:df0c","ff02::1","ICMPv6","86","Multicast Listener Query"
"8","12:37:03.912580","fe80::a71b:2589:4c0b:a2b7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"9","12:37:03.912584","152.66.156.14","224.0.0.251","MDNS","120","Standard query 0x0000 TXT mnbm._companion-link._tcp.local, ""QM"" question TXT Barczaâ\200\231s MacBook Pro._companion-link._tcp.local, ""QM"" question"
"10","12:37:03.912589","fe80::1c41:b56:cded:f1d3","ff02::fb","MDNS","140","Standard query 0x0000 TXT mnbm._companion-link._tcp.local, ""QM"" question TXT Barczaâ\200\231s MacBook Pro._companion-link._tcp.local, ""QM"" question"
"11","12:37:04.014415","152.66.157.105","152.66.159.255","NBNS","92","Name query NB BRNB422006DB02D<00>"
"12","12:37:04.014417","152.66.157.157","152.66.159.255","NBNS","92","Name query NB BRWD89C67BFC5D6<00>"
"13","12:37:04.014496","152.66.156.41","224.0.0.251","MDNS","1274","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR iPad (156)._companion-link._tcp.local PTR Bal\303\241zs ipad._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR Roland iPad -je._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR MacBook Air 2022._companion-link._tcp.local PTR NagPad mini._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR iPad ._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook ._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR D\303\241vidâ\200\231s iPad._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR Barczaâ\200\231s MacBook Pro._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR Gerencs\303\251r MacBook Air._companion-link._tcp.local PTR M\303\241rtonâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR Munkhshurâ\200\231s iPad._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR Gerg\305\221 mekb\303\272k \303\251rje._companion-link._tcp.local"
"14","12:37:04.016386","fe80::442:754e:fd99:6e74","ff02::fb","MDNS","1294","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR iPad (156)._companion-link._tcp.local PTR Bal\303\241zs ipad._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR Roland iPad -je._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR MacBook Air 2022._companion-link._tcp.local PTR NagPad mini._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR iPad ._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR MacBook ._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR D\303\241vidâ\200\231s iPad._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR Barczaâ\200\231s MacBook Pro._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR Gerencs\303\251r MacBook Air._companion-link._tcp.local PTR M\303\241rtonâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR Munkhshurâ\200\231s iPad._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR Gerg\305\221 mekb\303\272k \303\251rje._companion-link._tcp.local"
"15","12:37:04.016390","152.66.156.209","224.0.0.251","MDNS","263","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Barczaâ\200\231s MacBook Pro._companion-link._tcp.local"
"16","12:37:04.016392","fe80::1c12:522a:3e55:8986","ff02::fb","MDNS","283","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Barczaâ\200\231s MacBook Pro._companion-link._tcp.local"
"17","12:37:04.111390","152.66.156.191","5.28.195.2","TCP","78","64157  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2939159348 TSecr=0 SACK_PERM"
"18","12:37:04.111437","152.66.156.191","5.28.195.2","TCP","78","64156  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1877946481 TSecr=0 SACK_PERM"
"19","12:37:04.111450","152.66.156.191","5.28.195.2","TCP","78","64155  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3559305313 TSecr=0 SACK_PERM"
"20","12:37:04.117163","152.66.157.64","224.0.0.251","MDNS","150","Standard query 0x0000 ANY 980D6541-0E9A-4ACE-BD68-9629E4D1BA31._asquic._udp.local, ""QM"" question SRV 0 0 61567 Roland-iPad-je.local"
"21","12:37:04.117166","fe80::105b:30aa:f10c:cf84","ff02::fb","MDNS","170","Standard query 0x0000 ANY 980D6541-0E9A-4ACE-BD68-9629E4D1BA31._asquic._udp.local, ""QM"" question SRV 0 0 61567 Roland-iPad-je.local"
"22","12:37:04.117167","152.66.156.213","224.0.0.251","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush mnbm._companion-link._tcp.local"
"23","12:37:04.117168","fe80::14f9:dd06:1d06:4a2e","ff02::fb","MDNS","267","Standard query response 0x0000 TXT, cache flush NSEC, cache flush mnbm._companion-link._tcp.local"
"24","12:37:04.163726","5.28.195.2","152.66.156.191","TCP","74","443  >  64156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=1687051096 TSecr=1877946481 WS=1024"
"25","12:37:04.163976","152.66.156.191","5.28.195.2","TCP","66","64156  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=1877946533 TSecr=1687051096"
"26","12:37:04.164213","152.66.156.191","5.28.195.2","TLSv1","583","Client Hello"
