"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:48:17.921400","152.66.156.4","224.0.0.251","MDNS","152","Standard query response 0x0000 PTR iPad (21)._companion-link._tcp.local TXT"
"2","12:48:17.921402","fe80::480:f44:ace3:b9f6","ff02::fb","MDNS","172","Standard query response 0x0000 PTR iPad (21)._companion-link._tcp.local TXT"
"3","12:48:17.921404","152.66.156.194","224.0.0.251","MDNS","1280","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Roland iPad -je._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR Lucian's MacBook Pro._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR Osgy\303\241n MacBook Pro._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR Ataâ\200\231s ipad._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR Munkhshurâ\200\231s iPad._companion-link._tcp.local PTR Gerencs\303\251r MacBook Air._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR Barczaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR iPad (156)._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local PTR Acsâ\200\231s iPhone._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR NagPad mini._companion-link._tcp.local PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR D\303\241vidâ\200\231s iPad._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Bal\303\241zs ipad._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR MacBook ._companion-link._tcp.local"
"4","12:48:17.921405","fe80::1019:32e0:a04f:affc","ff02::fb","MDNS","1300","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Roland iPad -je._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR Lucian's MacBook Pro._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR Osgy\303\241n MacBook Pro._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR Ataâ\200\231s ipad._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR Munkhshurâ\200\231s iPad._companion-link._tcp.local PTR Gerencs\303\251r MacBook Air._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR Barczaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR iPad (156)._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local PTR Acsâ\200\231s iPhone._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR NagPad mini._companion-link._tcp.local PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR D\303\241vidâ\200\231s iPad._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Bal\303\241zs ipad._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR MacBook ._companion-link._tcp.local"
"5","12:48:17.921407","152.66.159.246","224.0.0.251","MDNS","197","Standard query response 0x0000 PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local TXT"
"6","12:48:17.922725","fe80::10f0:dcf9:c4c3:387f","ff02::fb","MDNS","217","Standard query response 0x0000 PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local TXT"
"7","12:48:17.922726","152.66.159.38","224.0.0.251","MDNS","191","Standard query response 0x0000 PTR Norman MacBook Pro._companion-link._tcp.local TXT"
"8","12:48:17.922728","fe80::147f:3fb2:1a8c:ca30","ff02::fb","MDNS","211","Standard query response 0x0000 PTR Norman MacBook Pro._companion-link._tcp.local TXT"
"9","12:48:17.924245","152.66.156.52","224.0.0.251","MDNS","164","Standard query response 0x0000 PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local TXT"
"10","12:48:17.924246","fe80::465:62fa:24eb:71ff","ff02::fb","MDNS","184","Standard query response 0x0000 PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local TXT"
