"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:00:37.755506","192.168.0.74","5.28.195.2","TCP","78","59600  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2749188808 TSecr=0 SACK_PERM"
"2","11:00:37.755558","192.168.0.74","5.28.195.2","TCP","78","59601  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=484107729 TSecr=0 SACK_PERM"
"3","11:00:37.923666","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"4","11:00:37.923844","192.168.0.74","192.87.28.82","TCP","66","59488  >  9001 [ACK] Seq=1 Ack=537 Win=4086 Len=0 TSval=3829715311 TSecr=2690188387"
"5","11:00:37.952331","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"6","11:00:38.054910","192.168.0.192","230.0.0.1","UDP","92","59448  >  6666 Len=50"
"7","11:00:38.163872","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"8","11:00:38.569702","CompalBroadb_aa:60:7e","ee:99:94:f5:59:fd","ARP","56","Who has 192.168.0.74? Tell 192.168.0.1"
"9","11:00:38.569795","ee:99:94:f5:59:fd","CompalBroadb_aa:60:7e","ARP","42","192.168.0.74 is at ee:99:94:f5:59:fd"
"10","11:00:38.756706","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 59600  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2749189809 TSecr=0 SACK_PERM"
"11","11:00:38.756783","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 59601  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=484108730 TSecr=0 SACK_PERM"
"12","11:00:38.873556","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"13","11:00:39.085824","192.168.0.192","230.0.0.1","UDP","92","59448  >  6666 Len=50"
"14","11:00:39.188086","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"15","11:00:39.650674","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"16","11:00:39.698270","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=1 Ack=537 Win=480 Len=0 TSval=2678140891 TSecr=3160848083"
"17","11:00:39.832186","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [ACK] Seq=1 Ack=537 Win=480 Len=1408 TSval=2678141026 TSecr=3160848083 [TCP PDU reassembled in 20]"
"18","11:00:39.832416","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=537 Ack=1409 Win=9176 Len=0 TSval=3160848265 TSecr=2678141026"
"19","11:00:39.833701","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [PSH, ACK] Seq=1409 Ack=537 Win=480 Len=1408 TSval=2678141026 TSecr=3160848083 [TCP PDU reassembled in 20]"
"20","11:00:39.833703","64.65.63.120","192.168.0.74","TLSv1.2","1320","Application Data"
"21","11:00:39.833766","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=537 Ack=4071 Win=9157 Len=0 TSval=3160848266 TSecr=2678141026"
"22","11:00:39.834701","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [ACK] Seq=4071 Ack=537 Win=480 Len=1408 TSval=2678141026 TSecr=3160848083 [TCP PDU reassembled in 26]"
"23","11:00:39.834704","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [PSH, ACK] Seq=5479 Ack=537 Win=480 Len=1408 TSval=2678141026 TSecr=3160848083 [TCP PDU reassembled in 26]"
"24","11:00:39.834777","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=537 Ack=6887 Win=9154 Len=0 TSval=3160848267 TSecr=2678141026"
