"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:46:14.115134","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"2","11:46:14.499486","192.168.0.74","5.28.195.2","TCP","78","63266  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=797129144 TSecr=0 SACK_PERM"
"3","11:46:14.499560","192.168.0.74","5.28.195.2","TCP","78","63267  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=813577166 TSecr=0 SACK_PERM"
"4","11:46:14.833094","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"5","11:46:15.037628","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"6","11:46:15.499818","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 63266  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=797130145 TSecr=0 SACK_PERM"
"7","11:46:15.499872","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 63267  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=813578167 TSecr=0 SACK_PERM"
"8","11:46:15.508151","31.192.108.181","192.168.0.74","TCP","78","443  >  60166 [FIN, ACK] Seq=1 Ack=1 Win=51 Len=0 TSval=2535828859 TSecr=1240941607 SLE=65 SRE=554"
"9","11:46:15.508292","192.168.0.74","31.192.108.181","TCP","66","60166  >  443 [ACK] Seq=737 Ack=2 Win=2048 Len=0 TSval=1240967821 TSecr=2535828859"
"10","11:46:15.508630","192.168.0.74","31.192.108.181","TLSv1.2","90","Application Data"
"11","11:46:15.508892","192.168.0.74","31.192.108.181","TCP","66","60166  >  443 [FIN, ACK] Seq=761 Ack=2 Win=2048 Len=0 TSval=1240967822 TSecr=2535828859"
"12","11:46:15.518726","192.168.0.74","1.1.1.1","DNS","71","Standard query 0x508e HTTPS xbox-dns.ru"
"13","11:46:15.518944","192.168.0.74","1.1.1.1","DNS","71","Standard query 0xcbea AAAA xbox-dns.ru"
"14","11:46:15.539003","1.1.1.1","192.168.0.74","DNS","129","Standard query response 0xcbea AAAA xbox-dns.ru SOA a.ns.selectel.ru"
"15","11:46:15.541333","192.168.0.74","31.192.108.181","TCP","78","60167  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414673876 TSecr=0 SACK_PERM TFO=R"
"16","11:46:15.573456","31.192.108.181","192.168.0.74","TCP","56","443  >  60166 [RST] Seq=2 Win=0 Len=0"
"17","11:46:15.595686","1.1.1.1","192.168.0.74","DNS","129","Standard query response 0x508e HTTPS xbox-dns.ru SOA a.ns.selectel.ru"
"18","11:46:15.660403","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 60167  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414673995 TSecr=0 SACK_PERM"
"19","11:46:15.661924","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"20","11:46:15.663857","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"21","11:46:15.663947","192.168.0.74","192.87.28.82","TCP","66","59488  >  9001 [ACK] Seq=1 Ack=537 Win=7056 Len=0 TSval=3832453158 TSecr=2692926131"
"22","11:46:15.705416","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=1 Ack=1051 Win=3815 Len=0 TSval=2680876892 TSecr=3163584201"
"23","11:46:15.705543","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"24","11:46:15.747666","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=1 Ack=2101 Win=3807 Len=0 TSval=2680876933 TSecr=3163584245"
"25","11:46:15.778917","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 60167  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414674114 TSecr=0 SACK_PERM"
"26","11:46:15.849882","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"27","11:46:15.867784","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"28","11:46:15.868014","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=2101 Ack=537 Win=9190 Len=0 TSval=3163584407 TSecr=2680877054"
"29","11:46:15.898287","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 60167  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414674233 TSecr=0 SACK_PERM"
"30","11:46:15.917868","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [ACK] Seq=537 Ack=2101 Win=3807 Len=1408 TSval=2680877105 TSecr=3163584407 [TCP PDU reassembled in 32]"
"31","11:46:15.917871","64.65.63.120","192.168.0.74","TCP","1474","443  >  59487 [PSH, ACK] Seq=1945 Ack=2101 Win=3807 Len=1408 TSval=2680877105 TSecr=3163584407 [TCP PDU reassembled in 32]"
"32","11:46:15.917874","64.65.63.120","192.168.0.74","TLSv1.2","870","Application Data"
"33","11:46:15.918068","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=2101 Ack=1945 Win=9176 Len=0 TSval=3163584457 TSecr=2680877105"
"34","11:46:15.918128","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=2101 Ack=4157 Win=9142 Len=0 TSval=3163584457 TSecr=2680877105"
"35","11:46:15.918413","192.168.0.74","64.65.63.120","TCP","66","[TCP Window Update] 59487  >  443 [ACK] Seq=2101 Ack=4157 Win=9198 Len=0 TSval=3163584458 TSecr=2680877105"
"36","11:46:15.951909","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"37","11:46:15.986896","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=3151 Win=3799 Len=0 TSval=2680877176 TSecr=3163584491"
"38","11:46:16.006509","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"39","11:46:16.008106","192.168.0.74","64.65.63.120","TCP","1474","59487  >  443 [ACK] Seq=4201 Ack=4157 Win=9198 Len=1408 TSval=3163584547 TSecr=2680877176 [TCP PDU reassembled in 41]"
"40","11:46:16.008109","192.168.0.74","64.65.63.120","TCP","1474","59487  >  443 [ACK] Seq=5609 Ack=4157 Win=9198 Len=1408 TSval=3163584547 TSecr=2680877176 [TCP PDU reassembled in 41]"
"41","11:46:16.008125","192.168.0.74","64.65.63.120","TLSv1.2","1320","Application Data"
"42","11:46:16.008140","192.168.0.74","64.65.63.120","TCP","1474","59487  >  443 [ACK] Seq=8271 Ack=4157 Win=9198 Len=1408 TSval=3163584547 TSecr=2680877176 [TCP PDU reassembled in 43]"
"43","11:46:16.008143","192.168.0.74","64.65.63.120","TLSv1.2","800","Application Data"
"44","11:46:16.020506","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 60167  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414674356 TSecr=0 SACK_PERM"
"45","11:46:16.044382","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=4201 Win=3791 Len=0 TSval=2680877234 TSecr=3163584546"
"46","11:46:16.044384","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=7017 Win=3835 Len=0 TSval=2680877234 TSecr=3163584547"
"47","11:46:16.044385","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=8271 Win=3857 Len=0 TSval=2680877235 TSecr=3163584547"
"48","11:46:16.044386","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=10413 Win=3891 Len=0 TSval=2680877235 TSecr=3163584547"
"49","11:46:16.044501","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"50","11:46:16.054638","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"51","11:46:16.080062","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4157 Ack=10949 Win=3913 Len=0 TSval=2680877269 TSecr=3163584584"
"52","11:46:16.141235","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"53","11:46:16.142677","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 60167  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2414674478 TSecr=0 SACK_PERM"
"54","11:46:16.144492","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"55","11:46:16.144589","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=4693 Win=9190 Len=0 TSval=3163584684 TSecr=2680877334"
"56","11:46:16.162206","192.168.0.74","192.87.28.82","TLSv1.2","1116","Application Data"
"57","11:46:16.175957","64.65.63.120","192.168.0.74","TCP","66","443  >  59487 [ACK] Seq=4693 Ack=11485 Win=3916 Len=0 TSval=2680877365 TSecr=3163584680"
"58","11:46:16.180403","64.65.63.120","192.168.0.74","TLSv1.2","1116","Application Data"
"59","11:46:16.180502","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=5743 Win=9182 Len=0 TSval=3163584720 TSecr=2680877369"
"60","11:46:16.204697","31.192.108.181","192.168.0.74","TCP","74","443  >  60167 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1420 SACK_PERM TSval=2535829751 TSecr=2414674478 WS=1024"
"61","11:46:16.204983","192.168.0.74","31.192.108.181","TCP","1474","60167  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=1408 TSval=2414674540 TSecr=2535829751 [TCP PDU reassembled in 62]"
"62","11:46:16.205007","192.168.0.74","31.192.108.181","TLSv1.3","196","Client Hello (SNI=xbox-dns.ru)"
"63","11:46:16.215056","64.65.63.120","192.168.0.74","TLSv1.2","1138","Application Data, Application Data"
"64","11:46:16.215150","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=6815 Win=9182 Len=0 TSval=3163584754 TSecr=2680877404"
"65","11:46:16.240178","192.87.28.82","192.168.0.74","TCP","66","9001  >  59488 [ACK] Seq=537 Ack=1051 Win=3520 Len=0 TSval=2692926705 TSecr=3832453656"
"66","11:46:16.251590","64.65.63.120","192.168.0.74","TLSv1.2","1116","Application Data"
"67","11:46:16.251691","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=7865 Win=9182 Len=0 TSval=3163584791 TSecr=2680877441"
"68","11:46:16.267306","192.87.28.82","192.168.0.74","TLSv1.2","1116","Application Data"
"69","11:46:16.267403","192.168.0.74","192.87.28.82","TCP","66","59488  >  9001 [ACK] Seq=1051 Ack=1587 Win=7048 Len=0 TSval=3832453761 TSecr=2692926731"
"70","11:46:16.286900","64.65.63.120","192.168.0.74","TLSv1.2","1116","Application Data"
"71","11:46:16.286994","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=8915 Win=9182 Len=0 TSval=3163584826 TSecr=2680877476"
"72","11:46:16.303037","64.65.63.120","192.168.0.74","TLSv1.2","1474","Application Data"
"73","11:46:16.303133","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=11485 Ack=10323 Win=9176 Len=0 TSval=3163584842 TSecr=2680877492"
"74","11:46:16.303829","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"75","11:46:16.306744","31.192.108.181","192.168.0.74","TCP","66","443  >  60167 [ACK] Seq=1 Ack=1409 Win=47104 Len=0 TSval=2535829856 TSecr=2414674540"
"76","11:46:16.322814","64.65.63.120","192.168.0.74","TLSv1.2","1272","Application Data"
"77","11:46:16.322909","192.168.0.74","64.65.63.120","TCP","66","59487  >  443 [ACK] Seq=12021 Ack=11529 Win=9180 Len=0 TSval=3163584862 TSecr=2680877512"
"78","11:46:16.335320","192.168.0.74","31.192.108.181","TCP","196","[TCP Retransmission] 60167  >  443 [PSH, ACK] Seq=1409 Ack=1 Win=132352 Len=130 TSval=2414674670 TSecr=2535829856 [TCP PDU reassembled in 62]"
"79","11:46:16.356357","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2603:1063:12::2ec","TLSv1.2","144","Application Data"
