"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:42:53.819592","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"2","11:42:54.020461","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"3","11:42:54.327666","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"4","11:42:54.327858","192.168.0.74","149.154.167.41","TCP","66","59400  >  443 [ACK] Seq=1 Ack=106 Win=65530 Len=0 TSval=1845367637 TSecr=325080451"
"5","11:42:54.456878","192.168.0.74","5.28.195.2","TCP","78","62945  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1772625561 TSecr=0 SACK_PERM"
"6","11:42:54.456934","192.168.0.74","5.28.195.2","TCP","78","62944  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2749170556 TSecr=0 SACK_PERM"
"7","11:42:54.843705","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"8","11:42:55.052574","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"9","11:42:55.351607","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"10","11:42:55.351705","192.168.0.74","149.154.167.41","TCP","66","59400  >  443 [ACK] Seq=1 Ack=211 Win=65530 Len=0 TSval=1845368661 TSecr=325081456"
"11","11:42:55.426329","192.168.0.74","5.28.195.2","TCP","78","62946  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2421793408 TSecr=0 SACK_PERM"
"12","11:42:55.458114","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 62945  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1772626562 TSecr=0 SACK_PERM"
"13","11:42:55.458166","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 62944  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2749171557 TSecr=0 SACK_PERM"
"14","11:42:55.463357","5.28.195.2","192.168.0.74","TCP","74","443  >  62946 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=3097583960 TSecr=2421793408 WS=1024"
"15","11:42:55.463497","192.168.0.74","5.28.195.2","TCP","66","62946  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=2421793445 TSecr=3097583960"
"16","11:42:55.463695","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"17","11:42:55.504073","5.28.195.2","192.168.0.74","TCP","66","443  >  62946 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3097584060 TSecr=2421793445"
"18","11:42:55.504074","5.28.195.2","192.168.0.74","TCP","66","443  >  62946 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3097584060 TSecr=2421793445"
"19","11:42:55.504240","192.168.0.74","5.28.195.2","TCP","66","62946  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2421793486 TSecr=3097584060"
"20","11:42:55.504441","192.168.0.74","5.28.195.2","TCP","66","62946  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2421793486 TSecr=3097584060"
"21","11:42:55.544605","5.28.195.2","192.168.0.74","TCP","56","443  >  62946 [RST] Seq=2 Win=0 Len=0"
"22","11:42:55.641722","192.168.0.74","5.28.195.2","TCP","78","62947  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2270485154 TSecr=0 SACK_PERM"
