"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:33:11.170644","192.168.0.227","5.28.195.2","TCP","78","60333  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3933158834 TSecr=0 SACK_PERM"
"2","11:33:11.170722","192.168.0.227","5.28.195.2","TCP","78","60332  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1823013587 TSecr=0 SACK_PERM"
"3","11:33:11.723060","192.168.0.227","64.65.63.120","TLSv1.2","602","Application Data"
"4","11:33:11.760107","64.65.63.120","192.168.0.227","TCP","66","443  >  55087 [ACK] Seq=1 Ack=537 Win=460 Len=0 TSval=2577707386 TSecr=1559889041"
"5","11:33:13.166595","192.168.0.227","5.28.195.2","TCP","78","60335  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1072753680 TSecr=0 SACK_PERM"
"6","11:33:13.166889","192.168.0.227","5.28.195.2","TCP","78","60336  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=572336386 TSecr=0 SACK_PERM"
"7","11:33:13.167026","192.168.0.227","5.28.195.2","TCP","78","60337  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1440647972 TSecr=0 SACK_PERM"
"8","11:33:13.204713","5.28.195.2","192.168.0.227","TCP","74","443  >  60335 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=2971030052 TSecr=1072753680 WS=1024"
"9","11:33:13.204859","192.168.0.227","5.28.195.2","TCP","66","60335  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=1072753718 TSecr=2971030052"
"10","11:33:13.205067","192.168.0.227","5.28.195.2","TLSv1","583","Client Hello"
"11","11:33:13.248634","5.28.195.2","192.168.0.227","TCP","66","443  >  60335 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2971030094 TSecr=1072753718"
"12","11:33:13.248636","5.28.195.2","192.168.0.227","TCP","66","443  >  60335 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2971030094 TSecr=1072753718"
"13","11:33:13.248762","192.168.0.227","5.28.195.2","TCP","66","60335  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=1072753762 TSecr=2971030094"
"14","11:33:13.248950","192.168.0.227","5.28.195.2","TCP","66","60335  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=1072753762 TSecr=2971030094"
"15","11:33:13.288875","5.28.195.2","192.168.0.227","TCP","56","443  >  60335 [RST] Seq=2 Win=0 Len=0"
"16","11:33:14.167092","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60337  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1440648972 TSecr=0 SACK_PERM"
"17","11:33:14.167174","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60336  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=572337386 TSecr=0 SACK_PERM"
"18","11:33:15.097337","192.87.28.82","192.168.0.227","TLSv1.2","602","Application Data"
"19","11:33:15.097616","192.168.0.227","192.87.28.82","TCP","66","55094  >  9001 [ACK] Seq=1 Ack=537 Win=7012 Len=0 TSval=4101920214 TSecr=2014569134"
"20","11:33:15.168293","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60337  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1440649973 TSecr=0 SACK_PERM"
"21","11:33:15.168353","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60336  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=572338387 TSecr=0 SACK_PERM"
"22","11:33:15.196931","16:a5:8a:ab:88:c1","Broadcast","ARP","42","Who has 192.168.0.87? Tell 192.168.0.220"
"23","11:33:15.473511","192.168.0.227","192.87.28.82","TCP","54","[TCP Keep-Alive] 55094  >  9001 [ACK] Seq=0 Ack=537 Win=7020 Len=0"
"24","11:33:15.520810","192.87.28.82","192.168.0.227","TCP","66","[TCP Keep-Alive ACK] 9001  >  55094 [ACK] Seq=537 Ack=1 Win=1043 Len=0 TSval=2014569672 TSecr=4101920214"
"25","11:33:16.168752","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60337  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1440650974 TSecr=0 SACK_PERM"
"26","11:33:16.168830","192.168.0.227","5.28.195.2","TCP","78","[TCP Retransmission] 60336  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=572339388 TSecr=0 SACK_PERM"
"27","11:33:16.220577","16:a5:8a:ab:88:c1","Broadcast","ARP","42","Who has 192.168.0.87? Tell 192.168.0.220"
"28","11:33:16.222323","192.168.0.227","5.28.195.2","TCP","78","60338  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3160736924 TSecr=0 SACK_PERM"
"29","11:33:16.261773","5.28.195.2","192.168.0.227","TCP","74","443  >  60338 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=2564698233 TSecr=3160736924 WS=1024"
"30","11:33:16.262022","192.168.0.227","5.28.195.2","TCP","66","60338  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=3160736964 TSecr=2564698233"
"31","11:33:16.262228","192.168.0.227","5.28.195.2","TLSv1","583","Client Hello"
"32","11:33:16.293080","2a01:b740:1361:101::c","2a02:ab88:b:4100:4977:d98a:d5e5:5d47","TLSv1.2","125","Application Data"
