"No.","Time","Source","Destination","Protocol","Length","Info"
"1","20:35:33.956505","192.168.0.74","5.28.195.2","TCP","78","55314  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1595640008 TSecr=0 SACK_PERM"
"2","20:35:33.956513","192.168.0.74","5.28.195.2","TCP","78","55315  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2948942619 TSecr=0 SACK_PERM"
"3","20:35:33.956560","192.168.0.74","5.28.195.2","TCP","78","55316  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1418866947 TSecr=0 SACK_PERM"
"4","20:35:34.006852","5.28.195.2","192.168.0.74","TCP","74","443  >  55315 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=3043142552 TSecr=2948942619 WS=1024"
"5","20:35:34.007022","192.168.0.74","5.28.195.2","TCP","66","55315  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=2948942669 TSecr=3043142552"
"6","20:35:34.007244","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"7","20:35:34.050052","5.28.195.2","192.168.0.74","TCP","66","443  >  55315 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3043142616 TSecr=2948942670"
"8","20:35:34.206760","5.28.195.2","192.168.0.74","TCP","66","443  >  55315 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3043142773 TSecr=2948942670"
"9","20:35:34.206995","192.168.0.74","5.28.195.2","TCP","66","55315  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2948942869 TSecr=3043142773"
"10","20:35:34.207250","192.168.0.74","5.28.195.2","TCP","66","55315  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2948942869 TSecr=3043142773"
"11","20:35:34.257386","5.28.195.2","192.168.0.74","TCP","56","443  >  55315 [RST] Seq=2 Win=0 Len=0"
"12","20:35:34.261536","87.228.47.204","192.168.0.74","TLSv1.2","90","Application Data"
"13","20:35:34.261918","192.168.0.74","87.228.47.204","TCP","66","59571  >  443 [ACK] Seq=1 Ack=25 Win=2048 Len=0 TSval=2112508186 TSecr=75543390"
"14","20:35:34.261920","192.168.0.74","87.228.47.204","TLSv1.2","90","Application Data"
"15","20:35:34.261921","192.168.0.74","87.228.47.204","TLSv1.2","92","Application Data"
"16","20:35:34.326614","87.228.47.204","192.168.0.74","TCP","66","443  >  59571 [ACK] Seq=25 Ack=25 Win=507 Len=0 TSval=75543456 TSecr=2112508186"
"17","20:35:34.326617","87.228.47.204","192.168.0.74","TCP","66","443  >  59571 [ACK] Seq=25 Ack=51 Win=507 Len=0 TSval=75543456 TSecr=2112508186"
"18","20:35:34.957482","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 55316  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1418867948 TSecr=0 SACK_PERM"
"19","20:35:34.957517","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 55314  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1595641009 TSecr=0 SACK_PERM"
"20","20:35:35.062773","192.168.0.74","149.154.167.41","SSL","283","Continuation Data"
"21","20:35:35.101085","149.154.167.41","192.168.0.74","TCP","70","443  >  55046 [PSH, ACK] Seq=1 Ack=218 Win=2048 Len=4 TSval=3357494701 TSecr=433458378 [TCP PDU reassembled in 23]"
"22","20:35:35.101188","192.168.0.74","149.154.167.41","TCP","66","55046  >  443 [ACK] Seq=218 Ack=5 Win=65535 Len=0 TSval=433458416 TSecr=3357494701"
"23","20:35:35.111619","149.154.167.41","192.168.0.74","SSL","315","Continuation Data"
"24","20:35:35.111737","192.168.0.74","149.154.167.41","TCP","66","55046  >  443 [ACK] Seq=218 Ack=254 Win=65521 Len=0 TSval=433458427 TSecr=3357494711"
"25","20:35:35.958265","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 55316  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1418868949 TSecr=0 SACK_PERM"
"26","20:35:35.958303","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 55314  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1595642010 TSecr=0 SACK_PERM"
