"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:18:28.254991","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"2","11:18:28.561960","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
"3","11:18:28.617084","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"4","11:18:28.701893","192.87.28.82","192.168.0.74","TCP","66","9001  >  59488 [ACK] Seq=1 Ack=537 Win=2347 Len=0 TSval=2691259171 TSecr=3830786047"
"5","11:18:29.052982","192.168.0.74","5.28.195.2","TCP","78","60989  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3362090725 TSecr=0 SACK_PERM"
"6","11:18:29.053043","192.168.0.74","5.28.195.2","TCP","78","60990  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2687779331 TSecr=0 SACK_PERM"
"7","11:18:29.053085","192.168.0.74","5.28.195.2","TCP","78","60991  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=641463956 TSecr=0 SACK_PERM"
"8","11:18:29.103505","5.28.195.2","192.168.0.74","TCP","74","443  >  60991 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=1905537304 TSecr=641463956 WS=1024"
"9","11:18:29.103756","192.168.0.74","5.28.195.2","TCP","66","60991  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=641464007 TSecr=1905537304"
"10","11:18:29.104028","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"11","11:18:29.271592","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"12","11:18:29.307089","192.168.0.74","5.28.195.2","TCP","583","[TCP Retransmission] 60991  >  443 [PSH, ACK] Seq=1 Ack=1 Win=1048560 Len=517 TSval=641464210 TSecr=1905537304"
"13","11:18:29.345091","5.28.195.2","192.168.0.74","TCP","66","443  >  60991 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1905537551 TSecr=641464210"
"14","11:18:29.354420","5.28.195.2","192.168.0.74","TCP","66","443  >  60991 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1905537560 TSecr=641464210"
"15","11:18:29.354561","192.168.0.74","5.28.195.2","TCP","66","60991  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=641464257 TSecr=1905537560"
"16","11:18:29.354827","192.168.0.74","5.28.195.2","TCP","66","60991  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=641464258 TSecr=1905537560"
"17","11:18:29.403448","5.28.195.2","192.168.0.74","TCP","56","443  >  60991 [RST] Seq=2 Win=0 Len=0"
"18","11:18:29.578788","192.168.0.192","230.0.0.1","UDP","92","62979  >  6666 Len=50"
