"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:38:16.713819","17.248.214.12","192.168.0.74","TCP","66","443  >  60149 [ACK] Seq=1 Ack=1 Win=31 Len=0 TSval=1860639126 TSecr=678160512"
"2","11:38:16.713821","192.168.0.192","230.0.0.1","UDP","92","58107  >  6666 Len=50"
"3","11:38:16.715000","17.248.214.12","192.168.0.74","TCP","66","443  >  60149 [ACK] Seq=1 Ack=605 Win=31 Len=0 TSval=1860639132 TSecr=678160515"
"4","11:38:16.715001","17.248.214.12","192.168.0.74","TCP","66","443  >  60149 [ACK] Seq=1 Ack=636 Win=31 Len=0 TSval=1860639132 TSecr=678160515"
"5","11:38:16.736507","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=1 Win=2426 Len=0 TSval=863378280 TSecr=174368813"
"6","11:38:16.736508","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=1409 Win=2429 Len=0 TSval=863378280 TSecr=174368813"
"7","11:38:16.736663","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"8","11:38:16.736665","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"9","11:38:16.736666","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"10","11:38:16.736666","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"11","11:38:16.770112","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=4225 Win=2426 Len=0 TSval=863378313 TSecr=174368846"
"12","11:38:16.770113","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=7041 Win=2426 Len=0 TSval=863378314 TSecr=174368846"
"13","11:38:16.770254","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"14","11:38:16.770256","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"15","11:38:16.770257","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"16","11:38:16.770258","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"17","11:38:16.770259","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"18","11:38:16.803695","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=9857 Win=2426 Len=0 TSval=863378347 TSecr=174368880"
"19","11:38:16.803696","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=12673 Win=2426 Len=0 TSval=863378348 TSecr=174368880"
"20","11:38:16.803849","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"21","11:38:16.803852","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"22","11:38:16.803852","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"23","11:38:16.803853","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"24","11:38:16.803853","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"25","11:38:16.809592","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=14081 Win=2429 Len=0 TSval=863378353 TSecr=174368880"
"26","11:38:16.809763","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"27","11:38:16.837325","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=16897 Win=2426 Len=0 TSval=863378381 TSecr=174368914"
"28","11:38:16.837470","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"29","11:38:16.837474","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"30","11:38:16.837475","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:1450:400c:c09::cf","TLSv1.2","1494","Ignored Unknown Record"
"31","11:38:16.841105","2a00:1450:400c:c09::cf","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  57711 [ACK] Seq=1 Ack=19713 Win=2429 Len=0 TSval=863378384 TSecr=174368914"
