"No.","Time","Source","Destination","Protocol","Length","Info"
"1","17:22:54.006278","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"2","17:22:54.006412","192.168.0.74","149.154.167.41","TCP","66","51643  >  443 [ACK] Seq=1 Ack=106 Win=65530 Len=0 TSval=2408216766 TSecr=1826440709"
"3","17:22:54.048178","192.168.0.74","5.28.195.2","TCP","78","52714  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3517483143 TSecr=0 SACK_PERM"
"4","17:22:54.048206","192.168.0.74","5.28.195.2","TCP","78","52715  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4208792794 TSecr=0 SACK_PERM"
"5","17:22:54.048702","192.168.0.74","5.28.195.2","TCP","78","52716  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1257791789 TSecr=0 SACK_PERM"
"6","17:22:54.087136","5.28.195.2","192.168.0.74","TCP","74","443  >  52714 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=2266437383 TSecr=3517483143 WS=1024"
"7","17:22:54.087256","192.168.0.74","5.28.195.2","TCP","66","52714  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=3517483182 TSecr=2266437383"
"8","17:22:54.087404","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"9","17:22:54.128369","5.28.195.2","192.168.0.74","TCP","66","443  >  52714 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2266437489 TSecr=3517483183"
"10","17:22:54.180484","5.28.195.2","192.168.0.74","TCP","66","443  >  52714 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2266437541 TSecr=3517483183"
"11","17:22:54.180593","192.168.0.74","5.28.195.2","TCP","66","52714  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=3517483276 TSecr=2266437541"
"12","17:22:54.180759","192.168.0.74","5.28.195.2","TCP","66","52714  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=3517483276 TSecr=2266437541"
"13","17:22:54.230514","5.28.195.2","192.168.0.74","TCP","56","443  >  52714 [RST] Seq=2 Win=0 Len=0"
"14","17:22:54.437256","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"15","17:22:54.448909","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.2","110","Application Data"
