"No.","Time","Source","Destination","Protocol","Length","Info"
"1","12:50:00.733463","152.66.157.95","224.0.0.251","MDNS","310","Standard query response 0x0000 TXT, cache flush PTR lamberia._companion-link._tcp.local TXT NSEC, cache flush lamberia._companion-link._tcp.local"
"2","12:50:00.733466","fe80::1c4b:951a:cff6:1160","ff02::fb","MDNS","330","Standard query response 0x0000 TXT, cache flush PTR lamberia._companion-link._tcp.local TXT NSEC, cache flush lamberia._companion-link._tcp.local"
"3","12:50:00.733467","152.66.159.151","224.0.0.251","MDNS","158","Standard query response 0x0000 PTR Simon iPadje._companion-link._tcp.local TXT"
"4","12:50:00.733469","fe80::893:d8c4:17c1:68a4","ff02::fb","MDNS","178","Standard query response 0x0000 PTR Simon iPadje._companion-link._tcp.local TXT"
"5","12:50:00.733470","152.66.156.170","224.0.0.251","MDNS","202","Standard query response 0x0000 PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local TXT"
"6","12:50:00.733471","fe80::1c71:428f:7490:23a8","ff02::fb","MDNS","222","Standard query response 0x0000 PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local TXT"
"7","12:50:00.735954","152.66.159.249","224.0.0.251","MDNS","509","Standard query response 0x0000 PTR, cache flush Android-74.local PTR, cache flush Android-74.local PTR, cache flush Android-74.local PTR, cache flush Android-74.local A, cache flush 152.66.159.249 AAAA, cache flush 2001:738:2001:407f:d860:86ff:fe95:8788 AAAA, cache flush fe80::d860:86ff:fe95:8788 AAAA, cache flush 2001:738:2001:407f:469:a3b8:bab3:2160 NSEC, cache flush 249.159.66.152.in-addr.arpa NSEC, cache flush 8.8.7.8.5.9.E.F.F.F.6.8.0.6.8.D.F.7.0.4.1.0.0.2.8.3.7.0.1.0.0.2.ip6.arpa NSEC, cache flush 8.8.7.8.5.9.E.F.F.F.6.8.0.6.8.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 0.6.1.2.3.B.A.B.8.B.3.A.9.6.4.0.F.7.0.4.1.0.0.2.8.3.7.0.1.0.0.2.ip6.arpa NSEC, cache flush Android-74.local"
"8","12:50:00.735956","fe80::d860:86ff:fe95:8788","ff02::fb","MDNS","529","Standard query response 0x0000 PTR, cache flush Android-74.local PTR, cache flush Android-74.local PTR, cache flush Android-74.local PTR, cache flush Android-74.local A, cache flush 152.66.159.249 AAAA, cache flush 2001:738:2001:407f:d860:86ff:fe95:8788 AAAA, cache flush fe80::d860:86ff:fe95:8788 AAAA, cache flush 2001:738:2001:407f:469:a3b8:bab3:2160 NSEC, cache flush 249.159.66.152.in-addr.arpa NSEC, cache flush 8.8.7.8.5.9.E.F.F.F.6.8.0.6.8.D.F.7.0.4.1.0.0.2.8.3.7.0.1.0.0.2.ip6.arpa NSEC, cache flush 8.8.7.8.5.9.E.F.F.F.6.8.0.6.8.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 0.6.1.2.3.B.A.B.8.B.3.A.9.6.4.0.F.7.0.4.1.0.0.2.8.3.7.0.1.0.0.2.ip6.arpa NSEC, cache flush Android-74.local"
"9","12:50:00.735958","152.66.156.147","224.0.0.251","MDNS","195","Standard query response 0x0000 TXT PTR Lucian's MacBook Pro._companion-link._tcp.local"
"10","12:50:00.735960","fe80::1827:2dd8:4f97:51cc","ff02::fb","MDNS","215","Standard query response 0x0000 TXT PTR Lucian's MacBook Pro._companion-link._tcp.local"
"11","12:50:00.735962","152.66.157.204","224.0.0.251","MDNS","171","Standard query response 0x0000 PTR gvancusi._companion-link._tcp.local TXT"
"12","12:50:00.735964","152.66.156.4","224.0.0.251","MDNS","152","Standard query response 0x0000 PTR iPad (21)._companion-link._tcp.local TXT"
"13","12:50:00.735965","fe80::807:e682:48fc:c50d","ff02::fb","MDNS","191","Standard query response 0x0000 PTR gvancusi._companion-link._tcp.local TXT"
"14","12:50:00.735966","fe80::480:f44:ace3:b9f6","ff02::fb","MDNS","172","Standard query response 0x0000 PTR iPad (21)._companion-link._tcp.local TXT"
"15","12:50:00.735967","152.66.159.38","224.0.0.251","MDNS","191","Standard query response 0x0000 PTR Norman MacBook Pro._companion-link._tcp.local TXT"
"16","12:50:00.735969","fe80::147f:3fb2:1a8c:ca30","ff02::fb","MDNS","211","Standard query response 0x0000 PTR Norman MacBook Pro._companion-link._tcp.local TXT"
"17","12:50:00.735971","152.66.157.6","224.0.0.251","MDNS","1105","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question TXT Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Naduâ\200\231s MacBook Pro._companion-link._tcp.local, ""QU"" question PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR M\303\241rtonâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR iPad (156)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR iPad ._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR Roland iPad -je._companion-link._tcp.local PTR Osgy\303\241n MacBook Pro._companion-link._tcp.local PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR Acsâ\200\231s iPhone._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR Lucian's MacBook Pro._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local"
"18","12:50:00.735973","fe80::406:67a9:ebb6:ac2f","ff02::fb","MDNS","1125","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question TXT Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Naduâ\200\231s MacBook Pro._companion-link._tcp.local, ""QU"" question PTR \351\231\210\345\230\211\350\243\225\347\232\204MacBook Air._companion-link._tcp.local PTR M\303\241rtonâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR MacBook Air di Marcello._companion-link._tcp.local PTR iPad (24)._companion-link._tcp.local PTR mnbm._companion-link._tcp.local PTR iPad (156)._companion-link._tcp.local PTR iPad (37)._companion-link._tcp.local PTR Gergely Csaba iPadje._companion-link._tcp.local PTR iPad ._companion-link._tcp.local PTR Benedek iPadje._companion-link._tcp.local PTR Ibrahim Mâ\200\231s iPad._companion-link._tcp.local PTR Andrasâ\200\231s iPad._companion-link._tcp.local PTR iPad (20)._companion-link._tcp.local PTR Hanna iPadje._companion-link._tcp.local PTR NK MacBook Air._companion-link._tcp.local PTR iPad (48)._companion-link._tcp.local PTR Roland iPad -je._companion-link._tcp.local PTR Osgy\303\241n MacBook Pro._companion-link._tcp.local PTR D\303\263riâ\200\231s iPad ._companion-link._tcp.local PTR P\303\251terâ\200\231s MacBook Air (2)._companion-link._tcp.local PTR Diegoâ\200\231s MacBook Pro._companion-link._tcp.local PTR Acsâ\200\231s iPhone._companion-link._tcp.local PTR Appleâ\200\231s MacBook Air._companion-link._tcp.local PTR Khaiâ\200\231s MacBook Pro._companion-link._tcp.local PTR Shuâ\200\231s MacBook Air._companion-link._tcp.local PTR Otgonbayarâ\200\231s MacBook Air._companion-link._tcp.local PTR lamberia._companion-link._tcp.local PTR Simon iPadje._companion-link._tcp.local PTR Naduâ\200\231s MacBook Pro._companion-link._tcp.local PTR Lucian's MacBook Pro._companion-link._tcp.local PTR gvancusi._companion-link._tcp.local PTR iPad (21)._companion-link._tcp.local PTR Norman MacBook Pro._companion-link._tcp.local"
"19","12:50:00.735975","152.66.158.165","224.0.0.251","MDNS","156","Standard query response 0x0000 PTR NagPad mini._companion-link._tcp.local TXT"
