"No.","Time","Source","Destination","Protocol","Length","Info"
"1","20:21:43.030956","192.87.28.82","192.168.0.74","TCP","66","9001  >  53922 [ACK] Seq=1 Ack=1 Win=1043 Len=0 TSval=3379250162 TSecr=2983905747"
"2","20:21:43.150184","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"3","20:21:43.150569","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=1 Ack=537 Win=4028 Len=0 TSval=2983905942 TSecr=3379250278"
"4","20:21:43.446753","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"5","20:21:43.493886","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"6","20:21:43.494011","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=537 Ack=1073 Win=4020 Len=0 TSval=2983906286 TSecr=3379250617"
"7","20:21:43.495076","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"8","20:21:43.559383","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"9","20:21:43.559535","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=1073 Ack=1609 Win=4020 Len=0 TSval=2983906351 TSecr=3379250688"
"10","20:21:43.560983","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"11","20:21:43.636222","192.87.28.82","192.168.0.74","TCP","66","9001  >  53922 [ACK] Seq=1609 Ack=1609 Win=1043 Len=0 TSval=3379250764 TSecr=2983906352"
"12","20:21:43.680207","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"13","20:21:43.680489","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=1609 Ack=2145 Win=4028 Len=0 TSval=2983906472 TSecr=3379250807"
"14","20:21:43.742778","192.168.0.74","5.28.195.2","TCP","78","54349  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3456020897 TSecr=0 SACK_PERM"
"15","20:21:43.742842","192.168.0.74","5.28.195.2","TCP","78","54348  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4294210227 TSecr=0 SACK_PERM"
"16","20:21:44.448747","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"17","20:21:44.459145","fe80::ae22:5ff:feaa:607e","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","ICMPv6","86","Neighbor Solicitation for 2a02:ab88:b:4100:6163:ab1b:4f48:fc2c from ac:22:05:aa:60:7e"
"18","20:21:44.459307","fe80::49c:fb07:3c9a:aa62","fe80::ae22:5ff:feaa:607e","ICMPv6","78","Neighbor Advertisement 2a02:ab88:b:4100:6163:ab1b:4f48:fc2c (sol)"
"19","20:21:44.498562","64.65.63.120","192.168.0.74","TCP","66","443  >  53923 [ACK] Seq=1 Ack=537 Win=1583 Len=0 TSval=2625405699 TSecr=38167384"
"20","20:21:44.502305","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"21","20:21:44.502430","192.168.0.74","64.65.63.120","TCP","66","53923  >  443 [ACK] Seq=537 Ack=537 Win=4328 Len=0 TSval=38167438 TSecr=2625405703"
"22","20:21:44.503156","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"23","20:21:44.561845","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"24","20:21:44.561968","192.168.0.74","64.65.63.120","TCP","66","53923  >  443 [ACK] Seq=1073 Ack=1073 Win=4328 Len=0 TSval=38167498 TSecr=2625405762"
"25","20:21:44.562451","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"26","20:21:44.645300","64.65.63.120","192.168.0.74","TCP","66","443  >  53923 [ACK] Seq=1073 Ack=1609 Win=1575 Len=0 TSval=2625405846 TSecr=38167498"
"27","20:21:44.649075","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"28","20:21:44.649161","192.168.0.74","64.65.63.120","TCP","66","53923  >  443 [ACK] Seq=1609 Ack=1609 Win=4328 Len=0 TSval=38167585 TSecr=2625405849"
"29","20:21:45.439155","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"30","20:21:45.486570","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"31","20:21:45.486705","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=2145 Ack=2681 Win=4020 Len=0 TSval=2983908278 TSecr=3379252612"
"32","20:21:45.487562","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"33","20:21:45.549948","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"34","20:21:45.550168","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=2681 Ack=3217 Win=4020 Len=0 TSval=2983908342 TSecr=3379252676"
"35","20:21:45.551399","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"36","20:21:45.635233","192.87.28.82","192.168.0.74","TCP","66","9001  >  53922 [ACK] Seq=3217 Ack=3217 Win=1043 Len=0 TSval=3379252754 TSecr=2983908343"
"37","20:21:45.635236","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"38","20:21:45.635370","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=3217 Ack=3753 Win=4020 Len=0 TSval=2983908427 TSecr=3379252763"
"39","20:21:45.738723","192.168.0.74","5.28.195.2","TCP","78","54352  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2086375063 TSecr=0 SACK_PERM"
"40","20:21:45.738917","192.168.0.74","5.28.195.2","TCP","78","54353  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1185863349 TSecr=0 SACK_PERM"
"41","20:21:45.739216","192.168.0.74","5.28.195.2","TCP","78","54354  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2540697831 TSecr=0 SACK_PERM"
"42","20:21:45.783872","5.28.195.2","192.168.0.74","TCP","74","443  >  54352 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=3291109164 TSecr=2086375063 WS=1024"
"43","20:21:45.783996","192.168.0.74","5.28.195.2","TCP","66","54352  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=2086375109 TSecr=3291109164"
"44","20:21:45.784149","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"45","20:21:45.826687","5.28.195.2","192.168.0.74","TCP","66","443  >  54352 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3291109208 TSecr=2086375109"
"46","20:21:45.826689","5.28.195.2","192.168.0.74","TCP","66","443  >  54352 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3291109208 TSecr=2086375109"
"47","20:21:45.826779","192.168.0.74","5.28.195.2","TCP","66","54352  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2086375151 TSecr=3291109208"
"48","20:21:45.826910","192.168.0.74","5.28.195.2","TCP","66","54352  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2086375152 TSecr=3291109208"
"49","20:21:45.868701","5.28.195.2","192.168.0.74","TCP","56","443  >  54352 [RST] Seq=2 Win=0 Len=0"
"50","20:21:45.922800","192.168.0.74","5.28.195.2","TCP","78","54355  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=3116330177 TSecr=0 SACK_PERM"
"51","20:21:45.960231","5.28.195.2","192.168.0.74","TCP","74","443  >  54355 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=3551484298 TSecr=3116330177 WS=1024"
"52","20:21:45.960392","192.168.0.74","5.28.195.2","TCP","66","54355  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=3116330215 TSecr=3551484298"
"53","20:21:45.960582","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"54","20:21:45.999643","5.28.195.2","192.168.0.74","TCP","66","443  >  54355 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3551484394 TSecr=3116330215"
"55","20:21:46.075678","5.28.195.2","192.168.0.74","TCP","66","443  >  54355 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3551484469 TSecr=3116330215"
"56","20:21:46.075874","192.168.0.74","5.28.195.2","TCP","66","54355  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=3116330330 TSecr=3551484469"
"57","20:21:46.076119","192.168.0.74","5.28.195.2","TCP","66","54355  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=3116330331 TSecr=3551484469"
"58","20:21:46.124513","5.28.195.2","192.168.0.74","TCP","56","443  >  54355 [RST] Seq=2 Win=0 Len=0"
"59","20:21:46.194686","192.168.0.74","224.0.0.251","MDNS","255","Standard query response 0x0000 TXT, cache flush NSEC, cache flush NK MacBook Air._companion-link._tcp.local"
"60","20:21:46.194763","fe80::49c:fb07:3c9a:aa62","ff02::fb","MDNS","275","Standard query response 0x0000 TXT, cache flush NSEC, cache flush NK MacBook Air._companion-link._tcp.local"
"61","20:21:46.336738","192.168.0.74","192.87.28.82","TCP","1474","53922  >  9001 [ACK] Seq=3217 Ack=3753 Win=4028 Len=1408 TSval=2983909128 TSecr=3379252763 [TCP PDU reassembled in 62]"
"62","20:21:46.336756","192.168.0.74","192.87.28.82","TLSv1.2","736","Application Data"
"63","20:21:46.372345","192.87.28.82","192.168.0.74","TCP","66","9001  >  53922 [ACK] Seq=3753 Ack=5295 Win=1011 Len=0 TSval=3379253500 TSecr=2983909128"
"64","20:21:46.431370","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"65","20:21:46.467664","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"66","20:21:46.467787","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=5831 Ack=4289 Win=4020 Len=0 TSval=2983909259 TSecr=3379253597"
"67","20:21:46.468273","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"68","20:21:46.518559","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"69","20:21:46.518703","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=6367 Ack=4825 Win=4020 Len=0 TSval=2983909310 TSecr=3379253648"
"70","20:21:46.519246","192.168.0.74","192.87.28.82","TLSv1.2","602","Application Data"
"71","20:21:46.592568","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"72","20:21:46.592675","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=6903 Ack=5361 Win=4020 Len=0 TSval=2983909384 TSecr=3379253722"
"73","20:21:46.658928","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"74","20:21:46.659054","192.168.0.74","192.87.28.82","TCP","66","53922  >  9001 [ACK] Seq=6903 Ack=5897 Win=4020 Len=0 TSval=2983909451 TSecr=3379253788"
"75","20:21:46.702806","192.168.0.74","192.87.28.82","TCP","1474","53922  >  9001 [ACK] Seq=6903 Ack=5897 Win=4028 Len=1408 TSval=2983909494 TSecr=3379253788 [TCP PDU reassembled in 76]"
"76","20:21:46.702828","192.168.0.74","192.87.28.82","TLSv1.2","736","Application Data"
"77","20:21:46.736167","192.87.28.82","192.168.0.74","TCP","66","9001  >  53922 [ACK] Seq=5897 Ack=8981 Win=1011 Len=0 TSval=3379253866 TSecr=2983909494"
"78","20:21:46.739727","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 54354  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2540698831 TSecr=0 SACK_PERM"
"79","20:21:46.739787","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 54353  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1185864350 TSecr=0 SACK_PERM"
"80","20:21:46.849197","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=5897 Ack=8981 Win=1043 Len=1408 TSval=3379253977 TSecr=2983909494 [TCP PDU reassembled in 82]"
"81","20:21:46.849203","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=7305 Ack=8981 Win=1043 Len=1408 TSval=3379253977 TSecr=2983909494 [TCP PDU reassembled in 82]"
"82","20:21:46.849205","192.87.28.82","192.168.0.74","TLSv1.2","1320","Application Data"
"83","20:21:46.849207","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=9967 Ack=8981 Win=1043 Len=1408 TSval=3379253977 TSecr=2983909494 [TCP PDU reassembled in 85]"
"84","20:21:46.849209","192.87.28.82","192.168.0.74","TCP","1474","9001  >  53922 [ACK] Seq=11375 Ack=8981 Win=1043 Len=1408 TSval=3379253977 TSecr=2983909494 [TCP PDU reassembled in 85]"
"85","20:21:46.849212","192.87.28.82","192.168.0.74","TLSv1.2","934","Application Data"
